strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Canada/SK-NML-17324/2020	EPI_ISL_2883420		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Egypt/CPHL-S9/2021	EPI_ISL_3274156		CPHL/MOH/EGYPT	CPHL/MOH/EGYPT	Wael H. Roshdy/ Mohamed Kamal / Shymaa s. Ahmed/ Ramy Galal/Nancy el guindy/ Amelia nagiub/salma sayed/ Abd Monaem Adel/Galal Mahmoud/Dalia Ramadan/Rabeh ..R. El/Shesheny/ Mohamed A Ali/Mohamed Hassany et al
hCoV-19/Chile/RM-230336/2020	EPI_ISL_1167708		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/Peru/un-CDC-4033364-001/2020	EPI_ISL_2379246	MZ323735.1	NAMRU-6	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Kelleher et al
hCoV-19/Angola/CERI-KRISPK014879/2021	EPI_ISL_2609561		Instituto Nacional de Investigação em Saúde	KRISP, KZN Research Innovation and Sequencing Platform	Morais J et al
hCoV-19/Serbia/Belgrade-2958073112/2020	EPI_ISL_1017700		Institute of Virology, Vaccines and Sera ''Torlak''	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Serbia/Belgrade-2977941101/2021	EPI_ISL_3163941		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Ecuador/USFQ-195/2020	EPI_ISL_527811		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Ecuador/USFQ-513/2020	EPI_ISL_660537		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/NewZealand/20CV0079/2020	EPI_ISL_547985		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20CV0128/2020	EPI_ISL_548014		LabTests	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20CV0341/2020	EPI_ISL_579096		North Shore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20VR3919/2020	EPI_ISL_548101		Waikato Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Egypt/ARMY-213/2021	EPI_ISL_1936104		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
hCoV-19/Peru/LIM-INS-1532/2021	EPI_ISL_3375964		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/LAL-INS-2350/2021	EPI_ISL_3401533		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al
hCoV-19/Peru/PUN-INS-1752/2021	EPI_ISL_3023490		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/CAL-INS-969/2021	EPI_ISL_2536742		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/TUM-INS-1110/2021	EPI_ISL_2536872		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/CUS-UPCH-0810/2021	EPI_ISL_3020259		Instituto de Medicina Tropical Alexander Von Humboldt, Sede Cusco	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al
hCoV-19/USA/NJ-CDC-ASC210035099/2021	EPI_ISL_2043209	MZ184814.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Argentina/INEI104611/2021	EPI_ISL_2158762		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/Peru/C01m44/2021	EPI_ISL_3050688		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Peru/LIM-INS-1540/2021	EPI_ISL_2921472		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/CAL-INS-972/2021	EPI_ISL_2536745		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/MDD-INS-1925/2021	EPI_ISL_3023618		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/LIM-INS-2096/2021	EPI_ISL_3376281		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/APU-INS-1363/2021	EPI_ISL_2921342		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/JUN-INS-2008/2021	EPI_ISL_3376193		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/LIM-INS-1013/2021	EPI_ISL_2536784		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Chile/ML-121142/2021	EPI_ISL_3149139		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Mexico/OAX_IBT_IMSS_2506/2021	EPI_ISL_3347563		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Bolivia/LaPaz_GM3-4/2021	EPI_ISL_2802859		BioMoLab	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Argentina/INEI104643/2021	EPI_ISL_2158768		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/Argentina/PAIS-E0326/2021	EPI_ISL_3260109		Hospital Jaime Ferre - SAMCO Rafaela	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt et al
hCoV-19/SaintKittsandNevis/73322/2021	EPI_ISL_2716602		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/SaintKittsandNevis/72432/2021	EPI_ISL_2756582		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/Argentina/PAIS-J00034/2021	EPI_ISL_3149737		Hosp. Pediatrico Dr. Avelino Castelán	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Andrea Gili et al
hCoV-19/Argentina/INEI104300/2021	EPI_ISL_2136152		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/Peru/C02m01/2021	EPI_ISL_3050693		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Peru/PAS-INS-1547/2021	EPI_ISL_2921479		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Chile/AR-79029/2021	EPI_ISL_2009238		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/Venezuela/Z9091/2021	EPI_ISL_3298380		INHRR	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Peru/C03m09/2021	EPI_ISL_3372575		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Peru/C03m13/2021	EPI_ISL_3372578		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Peru/UCA-INS-1614/2021	EPI_ISL_3023384		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/C03m47/2021	EPI_ISL_3372605		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00432P/2021	EPI_ISL_2321610		UNIGEM	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
hCoV-19/Peru/C03m37/2021	EPI_ISL_3372597		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Israel/CVL-13493/2021	EPI_ISL_2183715		Israel Central Virology laboratory	Israel National Consortium for SARS-CoV-2 sequencing	Neta Zuckerman et al
hCoV-19/Ecuador/NIC-INSPI-339728/2021	EPI_ISL_3274620		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Ecuador/USFQ-1117/2021	EPI_ISL_1896686		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/Chile/CO-126027/2021	EPI_ISL_3369414		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Peru/LIM-INS-2083/2021	EPI_ISL_3376268		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Chile/VS-86248/2021	EPI_ISL_2391041		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Chile/AI-116962/2021	EPI_ISL_2892713		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Chile/AP-98109/2021	EPI_ISL_2543459		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Canada/QC-1nIUH-5524359940/2021	EPI_ISL_2975479		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al
hCoV-19/Peru/C03m31/2021	EPI_ISL_3372592		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Peru/C02m02/2021	EPI_ISL_3050694		Dirección regional de salud del Callao (DIRESA-CALLAO)	Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales (CITBM)	M. Sovero et al
hCoV-19/Chile/AT-85617/2021	EPI_ISL_2391023		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Ecuador/USFQ-1044/2021	EPI_ISL_2086704		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Chile/VS-109139/2021	EPI_ISL_2756254		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Chile/AN-125785/2021	EPI_ISL_3185786		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Peru/LIM-INS-2097/2021	EPI_ISL_3376282		Laboratorio de Referencial Nacional de Virus Respiratorios	Laboratorio de Referencial Nacional de Virus Respiratorios	Carlos Padilla Rojas et al
hCoV-19/Peru/CUS-UPCH-0799/2021	EPI_ISL_3020249		Instituto de Medicina Tropical Alexander Von Humboldt, Sede Cusco	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al
hCoV-19/Peru/CUS-UPCH-0818/2021	EPI_ISL_3020266		Instituto de Medicina Tropical Alexander Von Humboldt, Sede Cusco	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al
hCoV-19/Colombia/MET-INS-VG-4698/2021	EPI_ISL_3320740		Laboratorio Previs IPS	Instituto Nacional de Salud	Katherine Laiton-Donato et al
hCoV-19/Colombia/VAC-COV-VG-4120/2021	EPI_ISL_3066767		FUNDACION VALLE DE LILI	Instituto Nacional de Salud	Katherine Laiton-Donato et al
hCoV-19/SouthAfrica/KRISP-K002888/2020	EPI_ISL_602700		NHLS-IALCH	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J et al
hCoV-19/Cyprus/002/2020	EPI_ISL_463742		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al
hCoV-19/Iceland/4193/2020	EPI_ISL_827887	OU165363.1	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Ukraine/203100360/2020	EPI_ISL_512639		National Laboratory for Influenza/Virology reference laboratory, Public Health Center of the Ministry of Health of Ukraine	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Jordan/SEARCH-5444/2020	EPI_ISL_755124		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
hCoV-19/Jordan/SEARCH-5442/2020	EPI_ISL_755128		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
hCoV-19/Togo/BMC-27062-20/2020	EPI_ISL_1435763		Institut National d'Hygiène	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
hCoV-19/Iran/GRC-T9778/2020	EPI_ISL_2697797		Kariminejad-Najmabadi Pathology & Genetics Center, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/Bangladesh/BCSIR-NILMRC-064/2020	EPI_ISL_464163		National Institute of Laboratory Medicine and Referral Center	Genomic Research Lab, BCSIR	Tanjina Akhter Banu et al
hCoV-19/Bangladesh/CHRF-0116/2020	EPI_ISL_906114		Child Health Research Foundation	Child Health Research Foundation	Senjuti Saha et al
hCoV-19/Jordan/SR-033/2020	EPI_ISL_429993	MT811545.1	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
hCoV-19/Guatemala/ASI01035/2020	EPI_ISL_3333121		Laboratorio Nacional de Salud	Asociación de Salud Integral/Clínica Familiar "Luis Ángel García"	Eduardo Arathoon et al
hCoV-19/CzechRepublic/NRL_11016/2020	EPI_ISL_737026		The National Institute of Public Health	State Veterinary Institute Prague	Nagy et al
hCoV-19/Serbia/Lipljan-005360911/2020	EPI_ISL_904010		Veterinary Specialized Institute Kraljevo	Veterinary Specialized Institute "Kraljevo", Serbia	Vidanovic et al
hCoV-19/Georgia/Tb-86952/2020	EPI_ISL_754180		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Salome Javashvili et al
hCoV-19/Georgia/Tb-RNGS001/2021	EPI_ISL_1921858		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al
hCoV-19/Georgia/Tb-RNGS003/2021	EPI_ISL_1921859		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Meri Pantsulaia et al
hCoV-19/Georgia/Tb-RNGS002/2020	EPI_ISL_3098697		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al
hCoV-19/CaboVerde/Praia_2698/2021	EPI_ISL_1711642		Virology Laboratory of Praia	Institut Pasteur de Dakar	Sanders Kevin et al
hCoV-19/Senegal/SC20-591/2021	EPI_ISL_3152108		MRCG	LBV Le Dantec	Halimatou Diop Ndiaye et al
hCoV-19/Senegal/SN-IR6-002329/2020	EPI_ISL_1827941		Institute for Health Research, Epidemiological Surveillance and Training (IRESSEF)	Abbott Laboratories	Souleymane Mboup et al
hCoV-19/Senegal/CTE-CHRT-441/2021	EPI_ISL_2873825		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
hCoV-19/Australia/SA0350/2020	EPI_ISL_483125		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Qatar/QA-QU_04-B5/2020	EPI_ISL_1712801		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/Uzbekistan/Tashkent-CGB-17/2020	EPI_ISL_1477047		Sanitary-Epidemiological And Public Health Department Of Tashkent Region, Uzbekistan	Center of Genomics and bioinformatics, Bioinformatics laboratory	Mirzakamol S Ayubov et al
hCoV-19/env/Beijing/223/2020	EPI_ISL_1168770		Beijing Center for Disease Prevention and Control	Beijing Center for Disease Prevention and Control	Yang Pan et al
hCoV-19/Mongolia/30/2020	EPI_ISL_1805697		National Center for Communicable Diseases (NCCD) National Influenza Center	National Centre for Disease Control (NCDC) National Influenza Center	Naranzul Ts et al
hCoV-19/Croatia/IGA-69-130648-P/2020	EPI_ISL_1167086		"Dr. Andrija Stampar" Teaching Institute of Public Health, Department of Clinical Microbiology	Istituto di Genomica Applicata	Jasmina Vranes et al
hCoV-19/Gambia/NPHL-1224/2020	EPI_ISL_561217		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Gambia/0548/2020	EPI_ISL_471165		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Sesay et al
hCoV-19/Armenia/UW-ARM37/2020	EPI_ISL_1854632	MZ230711.1	National Center of Disease Control and Prevention of the Republic of Armenia	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/Russia/SPE-RII-MH17288S/2021	EPI_ISL_2385265		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Ecuador/EC-M-48776/2020	EPI_ISL_826820		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	Instituto de Salud Publica de Chile	Javier Tognarelli et al
hCoV-19/CostaRica/INC-0108/2020	EPI_ISL_682248		AREA DE SALUD CIUDAD QUESADA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0186/2020	EPI_ISL_769999		Area De Salud Paraiso-Cervantes	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Australia/NT41/2020	EPI_ISL_456497	MT612187.1	Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Meumann et al
hCoV-19/Nigeria/CV717/2020	EPI_ISL_1093474		Nigerian Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Canada/NB-NML-3145/2020	EPI_ISL_961667		Hôpital Georges L. Dumont	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Ukraine/203100361/2020	EPI_ISL_512640		National Laboratory for Influenza/Virology reference laboratory, Public Health Center of the Ministry of Health of Ukraine	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Ukraine/Kharkiv-705/2020	EPI_ISL_576146		Department of Respiratory & Other Viral Infections of L.V. Gromashevsky Institute of Epidemiology & Infectious Diseases NAMS of Ukraine	Department of Respiratory & Other Viral Infections of L.V. Gromashevsky Institute of Epidemiology & Infectious Diseases NAMS of Ukraine, JSC "Farmak"	Alla Mironenko et al
hCoV-19/Latvia/026/2020	EPI_ISL_486391		Centrālā laboratorija	Latvian Biomedical Research and Study Centre	Ivars Silamiķelis et al
hCoV-19/Jordan/SR-046/2020	EPI_ISL_430004	MT811556.1	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
hCoV-19/Armenia/IMB1-8/2021	EPI_ISL_1139153		National Center of Disease Control and Prevention of the Republic of Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Mexico/MOR-InDRE_254/2020	EPI_ISL_1054995		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Australia/NSW1037/2020	EPI_ISL_593689		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/UnitedArabEmirates/3586/2020	EPI_ISL_859784		BTC, Khalifa University	BTC, Khalifa University	Al Safar et al
hCoV-19/Somalia/CV1232/2020	EPI_ISL_2308255		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nepal/2097/2020	EPI_ISL_754068		Nepal Korea Friendship Municipality Hospital	Nepal Health Research Council	Pradip Gyanwali et al
hCoV-19/Australia/NT91/2021	EPI_ISL_779409		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/BurkinaFaso/1124/2020	EPI_ISL_660446		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
hCoV-19/Mexico/ZAC_INER_IMSS_00455/2021	EPI_ISL_1585462		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Australia/NSW1263/2020	EPI_ISL_740894		Sydney South West Pathology Service (SSWPS) - Royal Prince Alfred Hospital - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Portugal/PT1739/2020	EPI_ISL_693535		H Vila Franca Xira	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/Peru/LIM-UPCH-0119/2020	EPI_ISL_568516		Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al
hCoV-19/NorthMacedonia/15087/2020	EPI_ISL_910327		General Hospital - Kumanovo	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	RCGEB - MASA et al
hCoV-19/Austria/CeMM1360/2020	EPI_ISL_853846		Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Austria/CeMM1402/2020	EPI_ISL_853914		ILV Kärnten	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/NorthMacedonia/18833/2020	EPI_ISL_933732		Institution of Nefrology-Struga	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	RCGEB - MASA et al
hCoV-19/NorthMacedonia/20056/2020	EPI_ISL_933803		General Hospital - Ohrid	Research Center for Genetic Engineering and Biotechnology "Georgi D. Efremov” , Macedonian Academy of Sciences and Arts	RCGEB - MASA et al
hCoV-19/USA/NV-NSPHL-A0205/2020	EPI_ISL_515459		Nevada State Public Health Laboratory	Nevada State Public Health Laboratory	Richard Tillett et al
hCoV-19/Hangzhou/HZCDCp145/2020	EPI_ISL_482582		Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li et al
hCoV-19/Mexico/MEX-InDRE-IBT-121/2020	EPI_ISL_1301577		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
hCoV-19/Liaoning/Dalian-IVDC-Case-10/2020	EPI_ISL_2170890		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Huilai Ma1& et al
hCoV-19/env/Liaoning/Dalian-IVDC-Pollock-30-05/2020	EPI_ISL_2170893		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Huilai Ma1& et al
hCoV-19/Russia/KR-RII-MH16398S/2021	EPI_ISL_2245741		Republican Infectious Diseases Hospital	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/NewZealand/20VR3804/2020	EPI_ISL_548139		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/21MV0426/2021	EPI_ISL_2406487		LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/USA/NH-CDC-2-3998471/2021	EPI_ISL_3354228		NH Dept. of Health and Human Services Public Health Labs	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
hCoV-19/TrinidadandTobago/55453/2021	EPI_ISL_1591351		Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
